MSR_ID;MSR_NME;MSR_NMF
207.00000;1 piece (6 cm x 4 cm x 4 cm);1 morceau (6 cm x 4 cm x 4 cm)
208.00000;1 piece (6.3 cm x 5 cm dia);1 morceau (6.3 cm x 5 cm dia)
210.00000;1 pita (16.5 cm dia);1 pita (16.5 cm dia)
211.00000;1 pizza (12'' );1 pizza (12'')
212.00000;1 pop;1 pop
213.00000;1 pop (75ml);1 pop (75ml)
216.00000;1 potato;1 pomme de terre
217.00000;1 potato (12cm x 6cm dia);1 pomme de terre (12cm x 6cm dia)
218.00000;1 potato (6.3cm dia);1 pomme de terre (6.3cm dia)
219.00000;1 pouch;1 sachet
220.00000;1 portion (pouch) prepared;1 sachet préparé
221.00000;1 pretzel;1 bretzel
222.00000;1 pudding cup;1 coupe de pouding
223.00000;1 radish (18cm x 6cm dia);1 radis (18cm x 6cm dia)
224.00000;1 rectangle;1 rectangle
227.00000;1 roll;1 pain mollet
228.00000;1 roll (6.3cm dia);1 pain mollet (6.3cm dia)
229.00000;1 roll (8.9cm dia);1 pain mollet  (8.9cm dia)
230.00000;1 root;1 racine
231.00000;1 round;1 rond
232.00000;1 saltine cracker;1 craquelin salé
233.00000;1 sandwich;1 sandwich
234.00000;1 sardine (12cm long);1 sardine (12cm longe)
235.00000;1 sardine (7.5cm long);1 sardine (7.5cm longe)
236.00000;1 sheet;1 feuille de pâte
237.00000;1 sheet (42cm x 30.5cm, thin);1 feuille (42cm x 30.5cm, mince)
238.00000;1 shell (12.7cm dia);1 coquille (12.7cm dia)
239.00000;1 shell (15.2-17.8cm dia);1 coquille (15.2-17.8cm dia)
240.00000;1 shell (17.8cm-20cm dia);1 coquille (17.8-20cm dia)
241.00000;1 shell (26.7cm dia);1 coquille (26.7cm dia)
242.00000;1 shell (9cm dia);1 coquille (9cm dia)
243.00000;1 shoot;1 pousse
244.00000;1 shoot (39cm x 2.9cm dia);1 pousse (39cm x 2.9cm dia)
245.00000;1 slice;1 tranche
246.00000;1 slice (0.2cm x 8cm dia);1 tranche (0.2cm x 8cm dia)
247.00000;1 slice (0.3cm x 10cm dia);1 tranche (0.3cm x 10cm dia)
248.00000;1 slice (0.3cm x 10.5cm dia);1 tranche (0.3cm x 10.5cm dia)
249.00000;1 slice (0.3cm x 11cm dia);1 tranche (0.3cm x 11cm dia)
250.00000;1 slice (0.6cm x 6cm dia);1 tranche (0.6cm x 6cm dia)
251.00000;1 slice (0.6cm);1 tranche (0.6cm)
252.00000;1 slice (1.3cm x 8.3cm dia);1 tranche (1.3cm x 8.3cm dia)
253.00000;1 slice (10cm x 10cm x 0.2cm);1 tranche (10cm x 10cm x 0.2cm)
254.00000;1 slice (10.8cm x 7.6cm x 1.9cm);1 tranche (10.8cm 7.6cm x 1.9cm)
255.00000;1 slice (11cm x 11cm x 0.2cm);1 tranche (11cm x 11cm x 0.2cm)
256.00000;1 slice (11 per 175g package);1 tranche (11 par 175g paquet)
258.00000;1 slice (12.7cm x 10.2cm x 0.9cm);1 tranche (12.7cm x 10.2cm x 0.9cm)
259.00000;1 slice (12.7cm x 10.2cm x 1.3cm);1 tranche (12.7cm x 10.2cm x 1.3cm)
260.00000;1 slice (12.7cm x 10.2cm x 1.9cm);1 tranche (12.7cm x 10.2cm x 1.9cm)
263.00000;1 slice (12.7cm x 9.5cm x 1.3cm);1 tranche (12.7cm x 9.5cm x 1.3cm)
264.00000;1 slice (13cm x 12cm x 0.2cm);1 tranche (13cm x 12cm x 0.2cm)
266.00000;1 slice (16cm x 10cm x 0.2cm);1 tranche (16cm x 10cm x 0.2cm)
267.00000;1 slice (17 per 375g package);1 tranche (17 par 375g paquet)
269.00000;1 slice (2cm x 9cm dia);1 tranche (2cm x 9cm dia)
270.00000;1 slice (6 per 125g package);1 tranche (6 par 125g paquet)
271.00000;1 slice (6 per 175g package);1 tranche (6 par 175g paquet)
273.00000;1 slice (8 per 175g package);1 tranche (8 par 175g paquet)
274.00000;1 small box;1 petite bôite
276.00000;1 smelt;1 éperlan
277.00000;1 snack cake;1 gâteau collation
278.00000;1 spear;1 tige et fleur
279.00000;1 square;1 carré
280.00000;1 square (17.8cm x 17.8cm);1 carré (17.8cm x 17.8cm)
281.00000;1 squid;1 calmar
283.00000;1 stem;1 queue
284.00000;1 stick;1 bâtonnet
285.00000;1 stick (19.4cm x 1.6cm dia);1 bâtonnet (19.4cm x 1.6cm dia)
286.00000;1 strip (21.5cm. long);1 tranche (21.5cm longueur)
287.00000;1 strudel;1 strudel
288.00000;1 sub;1 sous-marin
289.00000;1 sundae;1 coupe glacée
290.00000;1 super colossal;1 super colossale
292.00000;1 sweet roll (7cm x 7cm);1 brioche (7cm x 7cm)
293.00000;1 medium (12.7cm x 5.1cm dia);1 moyen (12.7cm x 5.1cm  dia)
294.00000;1 tablet;1 comprimé
295.00000;1 teaspoon;1 cuillère à thé
296.00000;1 thick wiener;1 grosse saucisse hot dog
297.00000;1 thigh;1 haut de cuisse
298.00000;1 toast;1 biscotte
299.00000;1 tomato;1 tomate
301.00000;2 tostadas;2 tostadas
302.00000;1 triple;1 craquelin triple
303.00000;1 turtle;1 tortue
